variant,seed,fusion_weight,training_seconds,inference_ms_per_flow,input_features,hierarchy_features,accuracy,precision_macro,recall_macro,f1_macro
Global-FULL,1,,1.7132780700922012,0.05303168878890574,70,64,0.9512,0.9518455480297427,0.9512,0.9513074558702576
DPF-FULL,1,0.75,1.7132780700922012,0.05303168878890574,70,64,0.9498,0.9504411381498388,0.9498000000000001,0.9499262274733088
HardHierarchy-FULL,1,,1.7132780700922012,0.05303168878890574,70,64,0.9378,0.938458755808416,0.9378,0.9380028826488601
Hierarchical-FULL,1,,1.5862275010440499,0.06280922540463507,70,70,0.9382,0.9386104800239579,0.9381999999999999,0.938296479866042
Global-FULL,1,,1.5862275010440499,0.06280922540463507,70,70,0.9512,0.9518455480297427,0.9512,0.9513074558702576
DPF-FULL-NoJSD,1,0.75,1.5862275010440499,0.06280922540463507,70,70,0.9504,0.9510667463842983,0.9503999999999999,0.9505351928414522
HardHierarchy-FULL,1,,1.5862275010440499,0.06280922540463507,70,70,0.9374,0.9379678616915414,0.9374,0.937569113222476
Hierarchical-PT,1,,1.7332488810643554,0.05990398582071066,51,51,0.9402,0.940486967565235,0.9401999999999999,0.9402657463845265
Global-PT,1,,1.7332488810643554,0.05990398582071066,51,51,0.951,0.9516097219746916,0.951,0.9511118599408691
DPF-PT,1,1.0,1.7332488810643554,0.05990398582071066,51,51,0.951,0.9516097219746916,0.951,0.9511118599408691
HardHierarchy-PT,1,,1.7332488810643554,0.05990398582071066,51,51,0.9402,0.9405492713065684,0.9401999999999999,0.9402930123035189
Hierarchical-AS,1,,1.9954586040694267,0.06270141499117017,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,1,,1.9954586040694267,0.06270141499117017,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,1,0.0,1.9954586040694267,0.06270141499117017,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,1,,1.9954586040694267,0.06270141499117017,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,2,,1.7172228200361133,0.05695493640378117,70,64,0.941,0.9414333325188879,0.9410000000000001,0.941114556135827
Global-FULL,2,,1.7172228200361133,0.05695493640378117,70,64,0.9522,0.9529717134283937,0.9522,0.9523328141467274
DPF-FULL,2,1.0,1.7172228200361133,0.05695493640378117,70,64,0.9522,0.9529717134283937,0.9522,0.9523328141467274
HardHierarchy-FULL,2,,1.7172228200361133,0.05695493640378117,70,64,0.9406,0.9411105213106925,0.9406000000000001,0.9407550614665263
Hierarchical-FULL,2,,1.6381118081044406,0.06253032796084881,70,70,0.9384,0.938641246087921,0.9384,0.9384515245247608
Global-FULL,2,,1.6381118081044406,0.06253032796084881,70,70,0.9522,0.9529717134283937,0.9522,0.9523328141467274
DPF-FULL-NoJSD,2,1.0,1.6381118081044406,0.06253032796084881,70,70,0.9522,0.9529717134283937,0.9522,0.9523328141467274
HardHierarchy-FULL,2,,1.6381118081044406,0.06253032796084881,70,70,0.9382,0.9385797756291272,0.9381999999999999,0.9383137252538172
Hierarchical-PT,2,,1.7193791191093624,0.06005442622117698,51,51,0.9388,0.9391611070818108,0.9388,0.9388833558154888
Global-PT,2,,1.7193791191093624,0.06005442622117698,51,51,0.9504,0.9511176268558685,0.9503999999999999,0.9505310787567159
DPF-PT,2,1.0,1.7193791191093624,0.06005442622117698,51,51,0.9504,0.9511176268558685,0.9503999999999999,0.9505310787567159
HardHierarchy-PT,2,,1.7193791191093624,0.06005442622117698,51,51,0.9384,0.9389172659427297,0.9384,0.9385531227994026
Hierarchical-AS,2,,1.9696107630152255,0.06320384480059146,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,2,,1.9696107630152255,0.06320384480059146,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,2,0.0,1.9696107630152255,0.06320384480059146,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,2,,1.9696107630152255,0.06320384480059146,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,3,,1.7828605079557747,0.05243773041293025,70,64,0.9408,0.9413292542385923,0.9408,0.9409148739421411
Global-FULL,3,,1.7828605079557747,0.05243773041293025,70,64,0.9522,0.9527897549798425,0.9522,0.9522862867446215
DPF-FULL,3,0.75,1.7828605079557747,0.05243773041293025,70,64,0.9518,0.9524115656716872,0.9518000000000001,0.9518990077351137
HardHierarchy-FULL,3,,1.7828605079557747,0.05243773041293025,70,64,0.9404,0.9410933040102112,0.9404,0.9405866766487929
Hierarchical-FULL,3,,1.6480889760423452,0.052529819589108226,70,70,0.9408,0.9413990903599532,0.9408,0.9409361237057983
Global-FULL,3,,1.6480889760423452,0.052529819589108226,70,70,0.9522,0.9527897549798425,0.9522,0.9522862867446215
DPF-FULL-NoJSD,3,1.0,1.6480889760423452,0.052529819589108226,70,70,0.9522,0.9527897549798425,0.9522,0.9522862867446215
HardHierarchy-FULL,3,,1.6480889760423452,0.052529819589108226,70,70,0.94,0.9407719421404034,0.9399999999999998,0.9402133596321323
Hierarchical-PT,3,,1.7931889549363405,0.05798897761851549,51,51,0.9424,0.9429328741927907,0.9423999999999999,0.9425057287458314
Global-PT,3,,1.7931889549363405,0.05798897761851549,51,51,0.9534,0.9539366629314265,0.9534,0.9534826145863968
DPF-PT,3,1.0,1.7931889549363405,0.05798897761851549,51,51,0.9534,0.9539366629314265,0.9534,0.9534826145863968
HardHierarchy-PT,3,,1.7931889549363405,0.05798897761851549,51,51,0.9428,0.9434282515743726,0.9428000000000001,0.9429521707911024
Hierarchical-AS,3,,2.022028517210856,0.0545603577978909,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Global-AS,3,,2.022028517210856,0.0545603577978909,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
DPF-AS,3,0.0,2.022028517210856,0.0545603577978909,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
HardHierarchy-AS,3,,2.022028517210856,0.0545603577978909,19,14,0.2888,0.24389815627743636,0.2888,0.19498593021145566
Hierarchical-FULL,4,,1.794770312961191,0.056945687625557184,70,64,0.9392,0.9396605633839442,0.9391999999999999,0.9393078252629856
